sensor_name;measured_variable;sensor_ref_doc;sensor_producer;sensor_added_infos;sensor_label;measurement_principle;measurement_technique
PT 100-daily_averages;air temperature;https://www.pentronic.se/wp-content/uploads/2019/05/09-4-new-standard-for-pt100-sensors-is-an-update-to-todays-reality.pdf;Pentronic;;Pentronic-PT100-daily-averages;;
CS616-daily_averages;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs616.pdf;Campbell Scientific;bistable multivibrator, niedrigfrequenterer Puls als TDR1000?;Campbell-CS616-daily-averages;dielectric constant;TDR
CS650-daily_averages;soil moisture;https://s.campbellsci.com/documents/us/manuals/cs650.pdf;Campbell Scientific;for high EC soils, loss-effect correction;Campbell-CS650-daily-averages;dielectric constant;TDR
Hydraprobe Analog (2.5 Volt)-daily-averages;soil moisture, soil EC, soil temperature;https://www.stevenswater.com/resources/documentation/hydraprobe/HP_6_User_Manual.pdf;Stevens Water Inc.;e.g. for campbell loggers;Stevens-Hydraprobe-A1-daily-averages;dielectric constant;FDR-Impedance
PR1-daily-averages;soil moisture;https://delta-t.co.uk/wp-content/uploads/2017/02/PR2_user_manual_version_5.0.pdf;Delta-T Devices;profile sensor, old version;DeltaT-PR1-daily-averages;dielectric constant;FDR-Capacitance
T200-daily-averages;precipitation;https://geonor.com/live/wp-content/uploads/2014/10/T-200B-US-Manual.-rev-10.10-20150128.pdf;Geonor;vibrating wire;Geonor-T200-daily-averages;;
5TM-daily-averages;soil moisture, soil temperature;http://publications.metergroup.com/Manuals/20424_5TM_Manual_Web.pdf;METER Group (former Decagon);https://library.metergroup.com/Retired%20and%20Discontinued/Manuals/ECH2O-TEEC-TMv6-Operators-Manual-(discontinued).pdf;Meter-5TM-daily-averages;dielectric constant;FDR-Capacitance
air-temperatur;air temperature;;Davis;;Davis-air-temperature;;
SR50AT;air temperature;https://s.campbellsci.com/documents/ca/manuals/sr50_man.pdf;Campbell Scientific;;Campbell-SR50-AT;;
WZ;soil moisture;;Centre for Water Informatics and Technology, LUMS, Lahore, Pakistan;;WZ-SM;;
