network_abbr;orig_flag_name;orig_flag_description
TERENO;4_4024;approved upload - baddata - bad quality
TERENO;4_18;data level 2c "approved upload", generic flag "bad data", qualifierid "isolated spike"
TERENO;4_3012;approved upload - suspicious - max
TERENO;noData;no Data
TERENO;4_2026;approved upload - ok - moderate quality
TERENO;4_4011;approved upload - baddata - min
TERENO;4_3044;approved upload - suspicious - no data change
TERENO;4_3036;approved upload - suspicious - technical disturbance
TERENO;4_19;data level 2c "approved upload", generic flag "bad data", qualifierid "sensor is out of order or delivers unplausible or meaningless data"
TERENO;4_2;data level 2c "approved upload", generic flag "good or acceptable data", qualified "good or acceptable data"
TERENO;4_2025;approved upload - ok - good quality
TERENO;4_4022;approved upload - baddata - data not plausible
TERENO;4_15;data level 2c "approved upload", generic flag "bad data", qualifierid "irregular data (NaN, infinite)"
TERENO;4_3037;approved upload - suspicious - maintenance disturbance
TERENO;4_4059;approved upload - baddata - max preciptiation 5d
TERENO;4_3023;approved upload - suspicious - frozen
TERENO;4_4021;approved upload - baddata - data transfer disturbed
TERENO;4_2002;approved upload - ok - ok
TERENO;4_4033;approved upload - baddata - noisy data
TERENO;4_3011;approved upload - suspicious - min
TERENO;4_4018;approved upload - baddata - out of order
TERENO;4_4058;approved upload - baddata - max precipitation 2d
TERENO;4_4020;approved upload - baddata - unplausible variation
TERENO;4_4013;approved upload - baddata - irregular
TERENO;4_4036;approved upload - baddata - technical disturbance
TERENO;None;no Data
TERENO;4_4019;approved upload - baddata - isolated spike
TERENO;4_3020;approved upload - suspicious - unplausible variation
TERENO;4_3014;approved upload - suspicious_unknown
TERENO;6_4057;checked automatically - baddata_max preciptiation 24h
TERENO;6_4058;checked automatically - baddata_max preciptiation 2d
TERENO;6_4059;checked automatically - baddata_max preciptiation 5d
TERENO;6_4069;checked automatically - baddata_sealinglip
TERENO;6_4071;checked automatically - baddata_Analysis error
TERENO;6_5005;checked automatically - gapfilled_gapfilled
TERENO;6_5015;checked automatically - gapfilled_interpolated
TERENO;6_5016;checked automatically - gapfilled_extrapolated
TERENO;6_7007;checked automatically - modified_modified
TERENO;6_7022;checked automatically - modified_data not plausible
TERENO;6_7060;checked automatically - modified_drift corrected
TERENO;5_1001;derived product - unevaluated_unevaluated
TERENO;5_2002;derived product - ok_ok
TERENO;5_3012;derived product - suspicious_max
TERENO;5_3014;derived product - suspicious_unknown
TERENO;5_4012;derived product - baddata_max
TERENO;5_4020;derived product - baddata_unplausiblevariation
TERENO;5_3048;derived product - suspicious_inconsistent time period
TERENO;4_4004;approved upload - baddata_baddata
TERENO;4_3003;approved upload - suspicious_suspicious
TERENO;1_1001;unevaluated - unevaluated_unevaluated
TERENO;1_1010;unevaluated - unevaluated_autosampler
TERENO;1_1028;unevaluated - unevaluated_change sensor MPS
TERENO;1_15014;unevaluated - interpolated_unknown
TERENO;1_15015;unevaluated - interpolated_interpolated
TERENO;1_15061;unevaluated - interpolated_linreg other station
TERENO;1_15062;unevaluated - interpolated_replacedby other station
TERENO;1_15063;unevaluated - interpolated_linreg DWD station
TERENO;1_15064;unevaluated - interpolated_replacedby DWD station
TERENO;1_15065;unevaluated - interpolated_spline time
TERENO;1_15066;unevaluated - interpolated_linreg time
TERENO;1_2002;unevaluated - ok_ok
TERENO;1_2010;unevaluated - ok_autosampler
TERENO;1_2025;unevaluated - ok_goodquality
TERENO;1_2026;unevaluated - ok_moderatequality
TERENO;1_2027;unevaluated - ok_qualityunknown
TERENO;1_2067;unevaluated - ok_below detection limit
TERENO;1_2068;unevaluated - ok_above detection limit
TERENO;1_25025;unevaluated - goodquality_goodquality
TERENO;1_25066;unevaluated - goodquality_linreg time
TERENO;1_3003;unevaluated - suspicious_suspicious
TERENO;1_3010;unevaluated - suspicious_autosampler
TERENO;1_3011;unevaluated - suspicious_min
TERENO;1_3012;unevaluated - suspicious_max
TERENO;1_3014;unevaluated - suspicious_unknown
TERENO;1_3017;unevaluated - suspicious_missing
TERENO;1_3020;unevaluated - suspicious_unplausiblevariation
TERENO;1_3023;unevaluated - suspicious_frozen
TERENO;1_3028;unevaluated - suspicious_change sensor MPS
TERENO;1_3029;unevaluated - suspicious_sensorchange
TERENO;1_3033;unevaluated - suspicious_noisydata
TERENO;1_3035;unevaluated - suspicious_changeflow/positionsensor
TERENO;1_3036;unevaluated - suspicious_technicaldisturbance
TERENO;1_3037;unevaluated - suspicious_maintenancedisturbance
TERENO;1_3043;unevaluated - suspicious_backwater
TERENO;1_3044;unevaluated - suspicious_nodatachange
TERENO;1_3045;unevaluated - suspicious_leaking tank
TERENO;1_3046;unevaluated - suspicious_check for sensor drift
TERENO;1_3048;unevaluated - suspicious_inconsistent time period
TERENO;1_3049;unevaluated - suspicious_tillage
TERENO;1_3053;unevaluated - suspicious_sensor reports malfunction
TERENO;1_3070;unevaluated - suspicious_Rewetting
TERENO;1_4004;unevaluated - baddata_baddata
TERENO;1_4010;unevaluated - baddata_autosampler
TERENO;1_4011;unevaluated - baddata_min
TERENO;1_4012;unevaluated - baddata_max
TERENO;1_4013;unevaluated - baddata_irregular
TERENO;1_4017;unevaluated - baddata_missing
TERENO;1_4018;unevaluated - baddata_outoforder
TERENO;1_4019;unevaluated - baddata_isolatedspike
TERENO;1_4020;unevaluated - baddata_unplausiblevariation
TERENO;1_4021;unevaluated - baddata_data transfer disturbed
TERENO;1_4022;unevaluated - baddata_data not plausible
TERENO;1_4023;unevaluated - baddata_frozen
TERENO;1_4024;unevaluated - baddata_badquality
TERENO;1_4028;unevaluated - baddata_change sensor MPS
TERENO;1_4033;unevaluated - baddata_noisydata
TERENO;1_4034;unevaluated - baddata_temperature effects
TERENO;1_4035;unevaluated - baddata_changeflow/positionsensor
TERENO;1_4036;unevaluated - baddata_technicaldisturbance
TERENO;1_4037;unevaluated - baddata_maintenancedisturbance
TERENO;1_4038;unevaluated - baddata_pumpfailure
TERENO;1_4039;unevaluated - baddata_removablematter
TERENO;1_4040;unevaluated - baddata_liquidapplication
TERENO;1_4041;unevaluated - baddata_controlaffected
TERENO;1_4042;unevaluated - baddata_tankrelease
TERENO;1_4043;unevaluated - baddata_backwater
TERENO;1_4047;unevaluated - baddata_ppleaking
TERENO;1_4050;unevaluated - baddata_deadsignal
TERENO;1_4051;unevaluated - baddata_noprecipitation
TERENO;1_4052;unevaluated - baddata_waterwithdrawal
TERENO;1_4054;unevaluated - baddata_manual deactivation
TERENO;1_4055;unevaluated - baddata_max preciptiation 6h
TERENO;1_4056;unevaluated - baddata_max preciptiation 12h
TERENO;1_4057;unevaluated - baddata_max preciptiation 24h
TERENO;1_4058;unevaluated - baddata_max preciptiation 2d
TERENO;1_4059;unevaluated - baddata_max preciptiation 5d
TERENO;1_4069;unevaluated - baddata_sealinglip
TERENO;1_4071;unevaluated - baddata_Analysis error
